Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,SPI4W,GPIO,Digital,Out,High,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PB04,RESET,GPIO,Digital,Out,High,,,NORMAL
6,PB05,DC,GPIO,Digital,Out,Low,,,NORMAL
9,PB06,,Available,,,,,,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,CS,GPIO,Digital,Out,High,,,NORMAL
12,PB09,BLA,GPIO,Digital,Out,Low,,,NORMAL
13,PA04,BUZZER,TCC0_WO0,Digital,High Impedance,n/a,No,No,NORMAL
14,PA05,,Available,,,,,,NORMAL
15,PA06,MOSI,SERCOM0_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
16,PA07,SCLK,SERCOM0_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,,Available,,,,,,NORMAL
20,PA11,,Available,,,,,,NORMAL
23,PB10,,Available,,,,,,NORMAL
24,PB11,,Available,,,,,,NORMAL
25,PB12,,Available,,,,,,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,,Available,,,,,,NORMAL
28,PB15,DP_LEFT,GPIO,Digital,In,n/a,Yes,No,NORMAL
29,PA12,DP_DOWN,GPIO,Digital,In,n/a,Yes,No,NORMAL
30,PA13,DP_RIGHT,GPIO,Digital,In,n/a,Yes,No,NORMAL
31,PA14,DP_UP,GPIO,Digital,In,n/a,Yes,No,NORMAL
32,PA15,USER_LED,GPIO,Digital,Out,Low,,,NORMAL
35,PA16,,Available,,,,,,NORMAL
36,PA17,,Available,,,,,,NORMAL
37,PA18,JS_RIGHT,GPIO,Digital,In,n/a,Yes,No,NORMAL
38,PA19,JS_SWITCH,GPIO,Digital,In,n/a,Yes,No,NORMAL
39,PB16,JS_DOWN,GPIO,Digital,In,n/a,Yes,No,NORMAL
40,PB17,JS_LEFT,GPIO,Digital,In,n/a,Yes,No,NORMAL
41,PA20,JS_UP,GPIO,Digital,In,n/a,Yes,No,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,,Available,,,,,,NORMAL
44,PA23,,Available,,,,,,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,,Available,,,,,,NORMAL
53,PA28,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,VDD,GPIO,Digital,Out,Low,,,NORMAL
62,PB01,VDDI,GPIO,Digital,Out,Low,,,NORMAL
63,PB02,,Available,,,,,,NORMAL
64,PB03,,Available,,,,,,NORMAL
